,continent,year,gdpPercap
0,Asia,1952,779.4453145
1,Asia,1957,820.8530296
2,Asia,1962,853.10071
3,Asia,1967,836.1971382
4,Asia,1972,739.9811058
5,Asia,1977,786.11336
6,Asia,1982,978.0114388
7,Asia,1987,852.3959448
8,Asia,1992,649.3413952
9,Asia,1997,635.341351
10,Asia,2002,726.7340548
11,Asia,2007,974.5803384
12,Europe,1952,1601.056136
13,Europe,1957,1942.284244
14,Europe,1962,2312.888958
15,Europe,1967,2760.196931
16,Europe,1972,3313.422188
17,Europe,1977,3533.00391
18,Europe,1982,3630.880722
19,Europe,1987,3738.932735
20,Europe,1992,2497.437901
21,Europe,1997,3193.054604
22,Europe,2002,4604.211737
23,Europe,2007,5937.029526
24,Africa,1952,2449.008185
25,Africa,1957,3013.976023
26,Africa,1962,2550.81688
27,Africa,1967,3246.991771
28,Africa,1972,4182.663766
29,Africa,1977,4910.416756
30,Africa,1982,5745.160213
31,Africa,1987,5681.358539
32,Africa,1992,5023.216647
33,Africa,1997,4797.295051
34,Africa,2002,5288.040382
35,Africa,2007,6223.367465
36,Africa,1952,3520.610273
37,Africa,1957,3827.940465
38,Africa,1962,4269.276742
39,Africa,1967,5522.776375
40,Africa,1972,5473.288005
41,Africa,1977,3008.647355
42,Africa,1982,2756.953672
43,Africa,1987,2430.208311
44,Africa,1992,2627.845685
45,Africa,1997,2277.140884
46,Africa,2002,2773.287312
47,Africa,2007,4797.231267
48,Americas,1952,5911.315053
49,Americas,1957,6856.856212
50,Americas,1962,7133.166023
51,Americas,1967,8052.953021
52,Americas,1972,9443.038526
53,Americas,1977,10079.02674
54,Americas,1982,8997.897412
55,Americas,1987,9139.671389
56,Americas,1992,9308.41871
57,Americas,1997,10967.28195
58,Americas,2002,8797.640716
59,Americas,2007,12779.37964
60,Oceania,1952,10039.59564
61,Oceania,1957,10949.64959
62,Oceania,1962,12217.22686
63,Oceania,1967,14526.12465
64,Oceania,1972,16788.62948
65,Oceania,1977,18334.19751
66,Oceania,1982,19477.00928
67,Oceania,1987,21888.88903
68,Oceania,1992,23424.76683
69,Oceania,1997,26997.93657
70,Oceania,2002,30687.75473
71,Oceania,2007,34435.36744
72,Europe,1952,6137.076492
73,Europe,1957,8842.59803
74,Europe,1962,10750.72111
75,Europe,1967,12834.6024
76,Europe,1972,16661.6256
77,Europe,1977,19749.4223
78,Europe,1982,21597.08362
79,Europe,1987,23687.82607
80,Europe,1992,27042.01868
81,Europe,1997,29095.92066
82,Europe,2002,32417.60769
83,Europe,2007,36126.4927
84,Asia,1952,9867.084765
85,Asia,1957,11635.79945
86,Asia,1962,12753.27514
87,Asia,1967,14804.6727
